trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
173,False,"{'a': 0.4134999999999999, 'e': 0.42105155262732119}",30,0,-9.141134504991758,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
174,False,"{'a': 0.4129999999999999, 'e': 0.418951549247639}",30,21,14.029910981809133,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.4124999999999999, 'e': 0.41686201967850839}",20,0,-56.42643046454555,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
176,False,"{'a': 0.4119999999999999, 'e': 0.41478291168158138}",25,15,7.021004318056843,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.4114999999999999, 'e': 0.41271417327904969}",20,0,-65.06800865401064,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
178,False,"{'a': 0.4109999999999999, 'e': 0.4106557527523455}",30,9,-6.598335015666328,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 0}",1
179,False,"{'a': 0.4104999999999999, 'e': 0.40860759864084845}",25,13,-12.302674341310668,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
180,False,"{'a': 0.4099999999999999, 'e': 0.40656965974059911}",30,7,-8.632057040665645,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 0}",1
181,False,"{'a': 0.4094999999999999, 'e': 0.40454188510301881}",25,11,-2.5848083729115867,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
182,False,"{'a': 0.4089999999999999, 'e': 0.40252422403363597}",25,8,11.757656732298488,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.4084999999999999, 'e': 0.40051662609081878}",20,11,18.270303666889994,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.4079999999999999, 'e': 0.39851904108451414}",20,0,5.2165251158156485,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
185,False,"{'a': 0.4074999999999999, 'e': 0.39653141907499284}",30,0,24.785812313673635,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
186,False,"{'a': 0.4069999999999999, 'e': 0.39455371037160109}",20,5,-32.00164877979684,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
